Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
nih_record_id,User ID,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
age_yrs,"Age  For babies less than 1 year old, do not write the age in months.Write 0 as the age.",,int,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
bio_sex_birth_2,What was your sex assigned at birth on your birth certificate?,,int,,,"""0""=[Male] |""1""=[Female] |""3""=[Intersex] |""96""=[None of these describe me] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_hispanic,"Are you of Hispanic, Latino, or Spanish origin?",,int,,,"""0""=[No, not of Hispanic, Latino, or Spanish origin] |""1""=[Yes, of Hispanic, Latino, or Spanish origin] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_race___2,What is your race?Mark one or more boxes AND print origins.,,boolean,,,"""0""=[(not selected) Black or African American] |""1""=[Black or African American] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_race___5,What is your race?Mark one or more boxes AND print origins.,,boolean,,,"""0""=[(not selected) White] |""1""=[White] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_ethn_race___3,What is your race?Mark one or more boxes AND print origins.,,boolean,,,"""0""=[(not selected) Asian] |""1""=[Asian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
edu_years_of_school,What is the highest level of education you have achieved?,,int,,,"""0""=[Have never gone to school] |""1""=[5th grade or less] |""2""=[6th to 8th grade] |""3""=[9th to 12th grade, no diploma] |""4""=[High school graduate or GED completed] |""5""=[Some college level/ Technical / Vocational degree] |""6""=[Bachelor's degree] |""7""=[Other advanced degree (Master's, Doctoral degree)] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
cc_hypertension_2,"Hypertension (HTN, high blood pressure)",,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
cc_diabetes_2,Diabetes,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
cc_cvd_2,Cardiovascular disease (CVD or heart disease),,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
cc_copd_2,Chronic obstructive pulmonary disease (COPD),,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
cc_cancer_2,Cancer diagnosis and/or treatment within the past 12 months,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
cc_imm_2,Immunocompromised condition,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
covid_vaccine,Have you received a COVID-19 vaccine?,,int,,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
vaccine_avail,How likely are you to get an approved COVID-19 vaccine when it becomes available? ,,int,,,"""1""=[Very likely] |""2""=[Fairly likely] |""3""=[Not too likely] |""4""=[Not at all likely] |""5""=[Definitely not] |""97""=[Not applicable] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
