Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
record_id,Record identifier,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
consent_date,Date participant consented,,dateTime,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
participant_age,Participant age in years,,int,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
sex_assigned,Sex assigned at birth,,int,,,"""M""=[Male] |""F""=[Female] |""I""=[Intersex] |""PNA""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
race_category,Self-identified race,,int,,,"""1""=[American Indian or Alaska Native] |""2""=[Black or African American] |""3""=[Asian] |""4""=[Native Hawaiian or Pacific Islander] |""5""=[White] |""6""=[More than one race] |""88""=[Other] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
is_hispanic,Hispanic/Latino ethnicity,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Decline] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
edu_completed,Education completed,,int,,,"""0""=[No formal education] |""1""=[Elementary] |""2""=[Middle school] |""3""=[Some high school] |""4""=[HS diploma or GED] |""5""=[Some college or trade school] |""6""=[Bachelors] |""7""=[Masters or higher] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
res_zip,Zip code of residence,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
currently_employed,Currently employed,,int,,,"""0""=[No] |""1""=[Yes, full-time] |""2""=[Yes, part-time] |""3""=[Retired] |""4""=[Student] |""5""=[Disabled] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
insurance_coverage,Type of insurance,,int,,,"""0""=[None] |""1""=[Private/Employer] |""2""=[Medicare] |""3""=[Medicaid/CHIP] |""4""=[Indian Health Service] |""5""=[Tricare] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
has_disability,Self-reported disability,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
dx_hypertension,Diagnosed with hypertension,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Unknown/PNA] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
dx_diabetes,Diagnosed with diabetes,,int,,,"""0""=[No] |""1""=[Type 1] |""2""=[Type 2] |""3""=[Gestational] |""99""=[Unknown/PNA] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
dx_asthma,Diagnosed with asthma,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Unknown/PNA] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
dx_obesity,Obesity (BMI>=30),,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Unknown/PNA] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
dx_depression,Diagnosed with depression,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Unknown/PNA] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
dx_substance_use,Substance use disorder,,int,,,"""0""=[No] |""1""=[Yes] |""99""=[Unknown/PNA] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
