Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
nih_record_id,User ID,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Identity
nih_race,What is your race?,,int,,,"""0""=[American Indian or Alaska Native] |""1""=[Black or African American] |""2""=[Asian] |""3""=[Native Hawaiian or other Pacific Islander] |""4""=[White] |""5""=[Middle Eastern or North African] |""6""=[Two or more races] |""97""=[Some other race] |""98""=[Do not know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Race
nih_ethnicity,Are you of Hispanic or Latino origin? May include Spanish origin.,,int,,,"""0""=[No-not of Hispanic or Latino origin] |""1""=[Yes-of Hispanic or Latino origin] |""97""=[Other] |""98""=[Don't Know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Ethnicity
nih_age,What is your age?,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Age
nih_sex,What is your biological sex assigned at birth?,,int,,,"""0""=[Female] |""1""=[Male] |""2""=[Intersex] |""3""=[Non-binary] |""96""=[None of these describe me] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Sex
nih_education,What is the highest level of education you have achieved outside or in the United States?,,int,,,"""0""=[Have never gone to school] |""1""=[Some school (Includes any education received below highschool graduate level)] |""2""=[High school graduate or GED completed] |""3""=[Some college (graduated or not)/associates degree/technical degree/vocational degree] |""4""=[Bachelor's degree] |""5""=[Other advanced degree (Master's/Doctorate/Professional Doctorate)] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Education Level
nih_education_yrs,How many years of education have you completed?,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Education Years
nih_zip,What is your zip code?,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Domicile
nih_employment,Please specify your employment status.,,int,,,"""0""=[Yes - Employed] |""1""=[No - Not Employed] |""2""=[Student] |""3""=[Keeping household] |""4""=[Retired] |""5""=[Disabled or government support] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Employment
nih_insurance,What kind of health insurance do you have?,,int,,,"""0""=[None] |""1""=[Private] |""2""=[Public] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Insurance Status
nih_disability,"Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
nih_deaf,Are you deaf or do you have serious difficulty hearing?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
